,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,921,854,669,72.64%,617,304,0,104,399,509,13,0,124,617,560,405,65.64%,621,49,53,185,424,8,0,48,304,294,264,86.84%,51,214,85,5,0,76,0,0,0,.,0,0,0,0,0,0,268,268,268,100.00%,31,152,116,0,76,15,723,723,407,56.29%,30,86,637,0,208,36,473,288,288,68,23.61%,25,78,210,0,0,0
AK-501,1118,602,531,47.50%,821,297,0,121,403,678,37,12,74,821,398,351,42.75%,171,9,75,269,520,32,0,32,297,204,180,60.61%,46,134,158,5,12,42,0,0,0,.,0,0,0,0,0,0,115,110,110,95.65%,15,53,62,0,81,9,409,409,231,56.48%,24,55,354,0,160,0,149,86,35,0,0.00%,13,36,49,1,0,1
AL-500,563,478,478,84.90%,473,80,10,66,178,379,6,51,28,473,430,430,90.91%,0,0,54,144,325,4,39,4,80,38,38,47.50%,12,34,44,2,12,24,10,10,10,100.00%,0,0,10,0,0,0,164,164,164,100.00%,18,55,109,0,54,12,1376,1376,1376,100.00%,52,209,1167,0,615,0,50,0,0,0,.,0,0,0,0,0,0
AL-501,445,347,351,78.88%,246,199,0,72,250,195,0,56,0,246,180,180,73.17%,0,12,37,120,126,0,3,0,199,167,171,85.93%,35,130,69,0,53,0,0,0,0,.,0,0,0,0,0,0,120,112,120,100.00%,16,54,66,0,84,0,242,242,242,100.00%,7,23,219,0,60,0,0,10,10,10,100.00%,0,0,10,0,10,0
AL-502,211,111,77,36.49%,125,86,0,105,111,84,16,0,16,125,85,77,61.60%,0,0,45,51,74,0,0,0,86,26,0,0.00%,60,60,10,16,0,16,0,0,0,.,0,0,0,0,0,0,35,35,35,100.00%,35,35,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AL-503,407,397,148,36.36%,377,30,0,41,135,272,0,1,0,377,367,136,36.07%,0,0,33,106,271,0,1,0,30,30,12,40.00%,8,29,1,0,0,0,0,0,0,.,0,0,0,0,0,0,4,4,4,100.00%,2,4,0,0,4,0,153,153,38,24.84%,5,18,135,0,115,0,24,0,0,0,.,0,0,0,0,0,0
AL-504,228,170,170,74.56%,169,59,0,50,83,145,0,33,0,169,160,160,94.67%,0,0,32,40,129,0,33,0,59,10,10,16.95%,18,43,16,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,1,2,17,5,9,5,154,154,154,100.00%,0,0,154,0,0,0,46,0,0,0,.,0,0,0,0,0,0
AL-505,51,51,51,100.00%,50,1,0,0,0,51,0,0,0,50,50,50,100.00%,0,0,0,0,50,0,0,0,1,1,1,100.00%,0,0,1,0,0,0,0,0,0,.,0,0,0,0,0,0,17,17,17,100.00%,2,6,11,0,3,0,8,8,8,100.00%,0,0,8,0,0,0,0,6,6,6,100.00%,0,0,6,0,0,0
AL-506,73,73,73,100.00%,65,8,0,24,24,49,0,8,0,65,65,65,100.00%,0,4,24,24,41,0,0,0,8,8,8,100.00%,0,0,8,0,8,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,5,16,13,0,29,0,285,285,285,100.00%,15,15,270,0,265,0,128,0,0,0,.,0,0,0,0,0,0
AL-507,166,150,33,19.88%,135,31,0,24,31,129,6,4,6,135,119,33,24.44%,0,0,24,31,98,6,4,6,31,31,0,0.00%,0,0,31,0,0,0,0,0,0,.,0,0,0,0,0,0,7,7,7,100.00%,0,0,7,0,7,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AL-508,61,35,0,0.00%,61,0,0,10,24,37,0,0,0,61,35,0,0.00%,0,0,10,24,37,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,2,2,2,100.00%,0,0,2,0,2,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-500,705,496,237,33.62%,469,236,0,83,260,445,0,29,26,469,300,129,27.51%,0,10,58,192,277,0,29,0,236,196,108,45.76%,25,68,168,0,0,26,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,402,402,4,1.00%,0,0,402,0,398,0,398,0,0,0,.,0,0,0,0,0,0
AR-501,237,168,153,64.56%,195,42,0,21,83,154,0,26,10,195,150,135,69.23%,0,0,15,59,136,0,26,0,42,18,18,42.86%,6,24,18,0,0,10,0,0,0,.,0,0,0,0,0,0,68,64,64,94.12%,14,53,15,0,64,0,180,180,45,25.00%,128,169,11,0,135,0,7,0,0,0,.,0,0,0,0,0,0
AR-503,668,440,323,48.35%,564,104,0,137,363,305,0,0,0,564,361,281,49.82%,0,0,127,336,228,0,0,0,104,79,42,40.38%,10,27,77,0,0,0,0,0,0,.,0,0,0,0,0,0,200,200,200,100.00%,27,82,118,0,79,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-505,118,77,62,52.54%,95,23,0,10,34,84,0,0,8,95,54,54,56.84%,0,0,10,34,61,0,0,0,23,23,8,34.78%,0,0,23,0,0,8,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,12,12,12,100.00%,6,12,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-508,308,285,205,66.56%,256,52,0,10,110,184,14,19,20,256,233,159,62.11%,0,0,5,88,154,14,0,14,52,52,46,88.46%,5,22,30,0,19,6,0,0,0,.,0,0,0,0,0,0,40,40,40,100.00%,0,0,40,0,2,0,0,0,0,.,0,0,0,0,0,0,0,8,8,8,100.00%,0,0,8,0,8,0
AZ-500,1644,1207,1053,64.05%,1327,295,22,271,592,1022,30,137,68,1327,976,850,64.05%,0,37,203,472,826,29,26,39,295,209,181,61.36%,68,120,174,1,89,29,22,22,22,100.00%,0,0,22,0,22,0,611,606,606,99.18%,75,252,359,0,359,0,1728,1728,1036,59.95%,169,516,1212,0,713,0,441,125,125,68,54.40%,20,71,54,0,20,0
AZ-501,1051,1011,1011,96.19%,742,290,19,143,417,630,4,135,99,742,702,702,94.61%,50,0,110,337,401,4,28,15,290,290,290,100.00%,33,80,210,0,103,84,19,19,19,100.00%,0,0,19,0,4,0,374,372,372,99.47%,88,273,101,0,64,103,1468,1468,803,54.70%,97,305,1163,0,665,98,592,0,0,0,.,0,0,0,0,0,0
AZ-502,6189,5808,5590,90.32%,4898,1246,45,769,2321,3817,51,241,233,4898,4653,4538,92.65%,0,25,578,1808,3044,46,0,115,1246,1110,1007,80.82%,191,513,728,5,196,118,45,45,45,100.00%,0,0,45,0,45,0,1663,1561,1663,100.00%,427,954,709,0,592,6,6164,6164,4906,79.59%,690,1321,4843,0,1413,0,1687,1145,1145,926,80.87%,98,283,862,0,20,0
CA-500,3337,3236,3236,96.97%,2938,379,20,472,1269,2054,14,106,143,2938,2861,2861,97.38%,231,7,446,1197,1727,14,74,30,379,355,355,93.67%,26,72,307,0,12,113,20,20,20,100.00%,0,0,20,0,20,0,1675,1675,1675,100.00%,433,1225,450,0,110,192,5000,5000,5000,100.00%,868,1284,3716,0,1489,49,2537,1964,1964,1964,100.00%,859,1764,200,0,0,0
CA-501,4370,4202,4026,92.13%,3922,448,0,424,1009,3340,21,76,315,3922,3859,3711,94.62%,45,46,338,802,3099,21,45,153,448,343,315,70.31%,86,207,241,0,31,162,0,0,0,.,0,0,0,0,0,0,1372,1338,1338,97.52%,578,955,363,54,128,158,5758,5758,4740,82.32%,265,724,5034,0,1265,52,2216,9253,9068,9068,98.00%,1187,3509,5744,0,44,637
CA-502,3472,3244,2969,85.51%,2440,1018,14,240,720,2740,12,105,241,2440,2222,2050,84.02%,260,12,160,511,1917,12,23,68,1018,1008,905,88.90%,80,209,809,0,68,173,14,14,14,100.00%,0,0,14,0,14,0,1196,1127,1127,94.23%,295,773,422,1,146,87,5129,5129,3812,74.32%,456,1407,3722,0,947,42,972,166,166,166,100.00%,51,153,13,0,0,0
CA-503,3261,3244,3089,94.73%,2490,771,0,519,1364,1891,6,211,152,2490,2490,2391,96.02%,95,8,365,989,1495,6,26,55,771,754,698,90.53%,154,375,396,0,185,97,0,0,0,.,0,0,0,0,0,0,930,891,891,95.81%,197,598,332,0,137,49,4323,4323,3494,80.82%,547,1578,2685,60,924,145,2531,657,657,657,100.00%,106,215,442,0,28,147
CA-504,1244,1208,1069,85.93%,1001,243,0,104,275,963,6,34,44,1001,965,891,89.01%,40,0,66,232,763,6,20,29,243,243,178,73.25%,38,43,200,0,14,15,0,0,0,.,0,0,0,0,0,0,410,382,382,93.17%,65,194,216,0,19,25,1518,1518,565,37.22%,25,74,1444,0,502,63,600,152,152,143,94.08%,17,45,107,0,0,36
CA-505,1036,960,670,64.67%,763,273,0,108,296,736,4,16,46,763,739,631,82.70%,0,0,68,168,591,4,16,19,273,221,39,14.29%,40,128,145,0,0,27,0,0,0,.,0,0,0,0,0,0,344,312,312,90.70%,85,245,99,0,67,5,1569,1569,1569,100.00%,255,731,838,0,669,11,749,422,422,422,100.00%,71,201,221,0,0,50
CA-506,875,787,628,71.77%,677,198,0,105,410,465,0,68,18,677,589,476,70.31%,0,6,87,316,361,0,10,12,198,198,152,76.77%,18,94,104,0,58,6,0,0,0,.,0,0,0,0,0,0,120,120,120,100.00%,40,120,0,0,0,0,494,494,322,65.18%,72,326,168,0,165,0,10,0,0,0,.,0,0,0,0,0,0
CA-507,312,254,185,59.29%,205,107,0,48,133,179,0,12,2,205,197,141,68.78%,0,6,20,64,141,0,0,0,107,57,44,41.12%,28,69,38,0,12,2,0,0,0,.,0,0,0,0,0,0,176,162,162,92.05%,32,103,73,0,1,10,751,751,751,100.00%,53,160,591,0,79,0,562,248,248,155,62.50%,34,92,156,0,0,0
CA-508,430,416,355,82.56%,338,92,0,60,219,211,0,14,12,338,324,263,77.81%,0,0,45,139,199,0,14,0,92,92,92,100.00%,15,80,12,0,0,12,0,0,0,.,0,0,0,0,0,0,444,426,426,95.95%,100,302,142,0,40,19,650,650,447,68.77%,43,127,523,0,301,0,624,1132,1132,0,0.00%,313,895,237,0,0,52
CA-509,257,221,187,72.76%,140,117,0,47,89,163,5,0,34,140,131,126,90.00%,6,23,11,31,104,5,0,5,117,90,61,52.14%,36,58,59,0,0,29,0,0,0,.,0,0,0,0,0,0,7,7,7,100.00%,1,2,5,0,0,0,594,594,594,100.00%,48,133,461,0,140,0,409,56,56,56,100.00%,14,30,26,0,0,0
CA-510,1309,1288,1128,86.17%,1076,233,0,85,306,995,8,0,78,1076,1058,898,83.46%,0,3,58,228,840,8,0,52,233,230,230,98.71%,27,78,155,0,0,26,0,0,0,.,0,0,0,0,0,0,124,124,124,100.00%,31,88,36,0,8,0,730,730,470,64.38%,71,223,507,0,271,0,685,424,424,47,11.08%,78,262,162,0,0,47
CA-511,1772,1727,1709,96.44%,1412,360,0,192,686,1078,8,29,34,1412,1367,1357,96.10%,0,0,155,523,881,8,12,26,360,360,352,97.78%,37,163,197,0,17,8,0,0,0,.,0,0,0,0,0,0,412,412,412,100.00%,106,339,73,0,59,41,807,807,807,100.00%,116,288,519,0,400,34,259,532,532,532,100.00%,96,359,173,0,0,0
CA-512,1112,1085,1054,94.78%,954,158,0,148,544,566,2,55,10,954,927,896,93.92%,0,3,109,396,558,0,55,0,158,158,158,100.00%,39,148,8,2,0,10,0,0,0,.,0,0,0,0,0,0,439,377,377,85.88%,119,402,37,0,11,3,1232,1232,1070,86.85%,54,144,1088,0,528,9,539,671,629,629,93.74%,224,372,299,0,0,0
CA-513,462,385,385,83.33%,313,149,0,32,168,294,0,0,20,313,246,246,78.59%,0,0,26,153,160,0,0,0,149,139,139,93.29%,6,15,134,0,0,20,0,0,0,.,0,0,0,0,0,0,188,188,188,100.00%,26,94,94,0,35,0,315,315,315,100.00%,16,46,269,0,60,0,153,419,419,419,100.00%,39,127,292,0,0,1
CA-514,1716,1611,1513,88.17%,1531,185,0,144,356,1360,0,99,22,1531,1439,1341,87.59%,0,0,115,297,1234,0,39,10,185,172,172,92.97%,29,59,126,0,60,12,0,0,0,.,0,0,0,0,0,0,599,539,539,89.98%,273,325,274,0,61,67,1433,1433,1411,98.46%,87,257,1176,0,668,0,1099,54,54,54,100.00%,2,17,37,0,41,0
CA-515,354,261,261,73.73%,251,103,0,40,109,245,0,0,4,251,211,211,84.06%,2,0,26,76,175,0,0,0,103,50,50,48.54%,14,33,70,0,0,4,0,0,0,.,0,0,0,0,0,0,86,86,86,100.00%,44,63,23,0,19,4,180,180,180,100.00%,4,9,171,0,0,0,93,20,20,20,100.00%,0,0,20,0,0,0
CA-516,1453,1286,388,26.70%,1140,313,0,138,556,864,33,22,66,1140,1003,240,21.05%,0,169,102,433,689,18,12,33,313,283,148,47.28%,36,123,175,15,10,33,0,0,0,.,0,0,0,0,0,0,168,168,151,89.88%,27,86,82,0,103,0,141,140,140,99.29%,16,49,92,0,77,0,0,237,237,237,100.00%,52,163,74,0,0,0
CA-517,266,250,239,89.85%,230,36,0,15,53,213,0,0,12,230,214,214,93.04%,0,0,12,43,187,0,0,0,36,36,25,69.44%,3,10,26,0,0,12,0,0,0,.,0,0,0,0,0,0,97,97,97,100.00%,15,59,38,0,4,0,90,90,90,100.00%,1,3,87,0,18,0,72,143,143,143,100.00%,2,4,139,0,0,29
CA-518,339,339,304,89.68%,183,156,0,26,54,285,0,12,43,183,183,183,100.00%,0,0,18,31,152,0,0,8,156,156,121,77.56%,8,23,133,0,12,35,0,0,0,.,0,0,0,0,0,0,82,82,82,100.00%,6,19,63,0,47,4,384,384,384,100.00%,84,91,293,0,273,0,350,15,15,15,100.00%,0,0,15,0,0,0
CA-519,818,818,756,92.42%,589,229,0,77,248,567,3,15,17,589,589,553,93.89%,40,96,34,116,470,3,0,8,229,229,203,88.65%,43,132,97,0,15,9,0,0,0,.,0,0,0,0,0,0,479,479,469,97.91%,195,436,43,0,21,0,287,287,273,95.12%,8,16,271,0,194,17,12,142,142,142,100.00%,14,44,98,0,0,0
CA-520,466,444,357,76.61%,352,114,0,40,99,367,0,0,7,352,336,249,70.74%,0,0,38,95,257,0,0,7,114,108,108,94.74%,2,4,110,0,0,0,0,0,0,.,0,0,0,0,0,0,326,326,326,100.00%,220,230,96,0,34,2,40,40,40,100.00%,0,0,40,0,0,0,22,68,68,68,100.00%,0,0,68,0,0,0
CA-521,307,272,209,68.08%,278,29,0,24,68,239,0,0,13,278,243,180,64.75%,0,0,24,68,210,0,0,0,29,29,29,100.00%,0,0,29,0,0,13,0,0,0,.,0,0,0,0,0,0,310,310,310,100.00%,61,176,134,0,2,0,300,300,236,78.67%,15,42,258,0,64,2,144,66,66,66,100.00%,0,0,66,0,5,0
CA-522,426,404,198,46.48%,350,76,0,34,156,263,7,29,18,350,328,122,34.86%,0,35,33,112,234,4,11,4,76,76,76,100.00%,1,44,29,3,18,14,0,0,0,.,0,0,0,0,0,0,293,286,293,100.00%,70,180,113,0,26,9,436,436,436,100.00%,6,11,425,0,92,20,178,60,60,60,100.00%,20,60,0,0,0,0
CA-523,140,140,119,85.00%,115,25,0,28,82,58,0,0,0,115,115,98,85.22%,0,0,24,61,54,0,0,0,25,25,21,84.00%,4,21,4,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-524,307,283,283,92.18%,284,23,0,41,121,186,0,0,0,284,260,260,91.55%,24,29,35,100,184,0,0,0,23,23,23,100.00%,6,21,2,0,0,0,0,0,0,.,0,0,0,0,0,0,347,347,347,100.00%,95,295,52,0,6,0,179,179,179,100.00%,5,10,169,0,0,0,0,66,66,66,100.00%,0,0,66,0,0,0
CA-525,198,161,101,51.01%,117,81,0,16,45,140,13,0,30,117,85,84,71.79%,14,0,7,31,74,12,0,15,81,76,17,20.99%,9,14,66,1,0,15,0,0,0,.,0,0,0,0,0,0,50,50,50,100.00%,8,24,26,0,18,17,29,29,29,100.00%,2,8,21,0,29,6,0,139,139,82,58.99%,23,77,62,0,0,48
CA-526,267,210,199,74.53%,240,27,0,84,216,51,0,7,0,240,183,172,71.67%,0,0,83,204,36,0,0,0,27,27,27,100.00%,1,12,15,0,7,0,0,0,0,.,0,0,0,0,0,0,80,80,80,100.00%,18,64,16,0,7,0,49,49,28,57.14%,8,17,32,0,22,0,6,48,48,48,100.00%,19,30,18,0,6,0
CA-527,84,44,44,52.38%,27,57,0,15,56,28,0,0,0,27,3,3,11.11%,0,0,5,24,3,0,0,0,57,41,41,71.93%,10,32,25,0,0,0,0,0,0,.,0,0,0,0,0,0,164,146,146,89.02%,36,126,38,0,1,0,18,18,18,100.00%,1,3,15,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-529,213,198,167,78.40%,150,63,0,28,131,82,0,0,5,150,135,135,90.00%,0,2,26,115,35,0,0,0,63,63,32,50.79%,2,16,47,0,0,5,0,0,0,.,0,0,0,0,0,0,77,77,77,100.00%,24,77,0,0,29,0,15,15,0,0.00%,15,15,0,0,15,0,0,303,303,14,4.62%,288,288,15,0,0,4
CA-530,38,6,5,13.16%,6,32,0,5,11,27,0,0,0,6,6,5,83.33%,0,0,0,0,6,0,0,0,32,0,0,0.00%,5,11,21,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,12,12,12,100.00%,7,8,4,0,0,0
CA-531,254,228,208,81.89%,178,76,0,16,92,162,0,0,8,178,158,138,77.53%,5,0,3,55,123,0,0,0,76,70,70,92.11%,13,37,39,0,0,8,0,0,0,.,0,0,0,0,0,0,2,2,2,100.00%,0,0,2,0,0,2,72,72,72,100.00%,4,9,63,0,0,0,28,0,0,0,.,0,0,0,0,0,0
CA-600,26609,26087,23483,88.25%,23317,2988,304,3223,9340,17154,115,1188,1400,23317,23165,20888,89.58%,388,0,2903,8402,14801,114,256,533,2988,2618,2291,76.67%,320,938,2049,1,653,867,304,304,304,100.00%,0,0,304,0,279,0,9138,8914,8904,97.44%,1477,5176,3960,2,579,187,26433,26433,18413,69.66%,1904,5890,20531,12,6242,407,4138,1411,1411,1353,95.89%,199,702,709,0,0,0
CA-601,5740,5419,5275,91.90%,3746,1921,73,730,2036,3687,17,430,470,3746,3676,3670,97.97%,24,130,446,1230,2499,17,16,145,1921,1670,1532,79.75%,284,806,1115,0,394,325,73,73,73,100.00%,0,0,73,0,20,0,2383,2267,2159,90.60%,477,1560,823,0,710,98,7287,7287,7287,100.00%,596,1793,5494,0,3383,95,991,1988,1988,1888,94.97%,132,436,1552,0,160,196
CA-602,3871,3549,3093,79.90%,3030,841,0,369,1269,2582,20,83,108,3030,2816,2752,90.83%,0,51,166,645,2365,20,2,45,841,733,341,40.55%,203,624,217,0,81,63,0,0,0,.,0,0,0,0,0,0,808,547,575,71.16%,161,544,264,0,108,16,2990,2990,2990,100.00%,392,1313,1677,0,1186,14,795,2082,2077,2080,99.90%,188,545,1537,0,0,0
CA-603,910,837,647,71.10%,801,109,0,39,289,608,13,22,20,801,732,561,70.04%,0,0,35,246,542,13,0,13,109,105,86,78.90%,4,43,66,0,22,7,0,0,0,.,0,0,0,0,0,0,506,506,463,91.50%,72,196,310,0,137,14,770,770,765,99.35%,24,79,691,0,314,19,162,881,836,657,74.57%,157,487,384,10,45,10
CA-604,1155,1083,1083,93.77%,948,207,0,84,266,889,0,58,27,948,916,916,96.62%,0,0,44,199,749,0,0,24,207,167,167,80.68%,40,67,140,0,58,3,0,0,0,.,0,0,0,0,0,0,451,451,451,100.00%,116,359,92,0,84,39,1335,1335,1335,100.00%,92,237,1098,0,0,0,337,186,186,186,100.00%,8,16,170,0,0,68
CA-606,1083,986,849,78.39%,569,462,52,80,196,887,0,215,0,569,566,490,86.12%,0,60,23,83,486,0,20,0,462,368,307,66.45%,57,113,349,0,195,0,52,52,52,100.00%,0,0,52,0,0,0,521,430,430,82.53%,56,182,339,0,243,0,1984,1984,1116,56.25%,195,636,1348,0,1134,0,240,599,599,307,51.25%,0,0,599,0,316,0
CA-607,223,205,204,91.48%,167,56,0,34,99,124,0,0,19,167,167,166,99.40%,54,0,16,43,124,0,0,19,56,38,38,67.86%,18,56,0,0,0,0,0,0,0,.,0,0,0,0,0,0,31,12,12,38.71%,6,17,14,0,0,0,538,538,509,94.61%,46,142,396,0,45,1,133,184,184,0,0.00%,15,64,120,0,0,0
CA-608,1915,1856,1196,62.45%,1467,448,0,241,843,1044,28,60,70,1467,1467,1057,72.05%,40,0,189,651,800,16,17,20,448,389,139,31.03%,52,192,244,12,43,50,0,0,0,.,0,0,0,0,0,0,830,670,830,100.00%,211,517,309,4,72,32,2063,2063,2063,100.00%,328,531,1532,0,824,0,456,0,0,0,.,0,0,0,0,0,0
CA-609,1308,1134,1016,77.68%,890,418,0,268,626,675,7,18,14,890,813,792,88.99%,32,0,156,368,517,5,0,12,418,321,224,53.59%,112,258,158,2,18,2,0,0,0,.,0,0,0,0,0,0,1237,1214,1214,98.14%,200,589,648,0,171,0,1649,1649,1649,100.00%,229,712,937,0,778,0,614,0,0,0,.,0,0,0,0,0,0
CA-611,1308,1188,936,71.56%,1043,255,10,315,528,774,6,20,95,1043,980,870,83.41%,15,10,172,317,720,6,0,95,255,198,56,21.96%,143,211,44,0,20,0,10,10,10,100.00%,0,0,10,0,0,0,433,376,376,86.84%,245,294,139,0,12,0,635,635,326,51.34%,68,131,504,0,241,9,347,523,523,108,20.65%,345,345,178,0,14,0
CA-612,121,61,61,50.41%,77,44,0,45,83,38,0,0,0,77,61,61,79.22%,0,0,30,39,38,0,0,0,44,0,0,0.00%,15,44,0,0,0,0,0,0,0,.,0,0,0,0,0,0,38,38,38,100.00%,13,38,0,0,0,0,156,156,156,100.00%,15,55,101,0,23,0,133,0,0,0,.,0,0,0,0,0,0
CA-613,437,387,284,64.99%,325,112,0,82,269,168,0,0,0,325,286,230,70.77%,0,0,73,233,92,0,0,0,112,101,54,48.21%,9,36,76,0,0,0,0,0,0,.,0,0,0,0,0,0,320,320,320,100.00%,180,227,93,0,58,0,32,32,6,18.75%,6,9,23,0,6,0,0,423,423,407,96.22%,123,423,0,0,0,0
CA-614,363,306,283,77.96%,317,46,0,41,130,230,3,0,3,317,290,267,84.23%,0,77,23,92,222,3,0,3,46,16,16,34.78%,18,38,8,0,0,0,0,0,0,.,0,0,0,0,0,0,346,346,346,100.00%,96,282,64,0,67,13,363,363,363,100.00%,8,18,345,0,226,0,137,313,313,313,100.00%,3,7,306,0,0,0
CO-500,1387,1171,1057,76.21%,919,468,0,154,457,898,32,9,83,919,730,725,78.89%,158,45,110,328,559,32,0,34,468,441,332,70.94%,44,129,339,0,9,49,0,0,0,.,0,0,0,0,0,0,396,281,232,58.59%,85,279,117,0,87,3,1180,1180,602,51.02%,104,346,834,0,494,96,212,83,83,0,0.00%,2,7,76,0,0,9
CO-503,8479,8292,7320,86.33%,6301,2115,63,1960,3477,4992,10,205,96,6301,6114,5926,94.05%,511,4943,1159,1990,4301,10,0,24,2115,2115,1331,62.93%,801,1487,628,0,167,72,63,63,63,100.00%,0,0,63,0,38,0,1285,1285,1285,100.00%,589,790,495,0,174,119,4896,4896,3533,72.16%,421,956,3940,0,1616,98,1565,4715,4715,2417,51.26%,1446,1767,2948,0,20,136
CO-504,984,957,674,68.50%,582,402,0,158,489,492,3,75,17,582,555,554,95.19%,0,125,51,167,413,2,1,4,402,402,120,29.85%,107,322,79,1,74,13,0,0,0,.,0,0,0,0,0,0,110,110,110,100.00%,19,52,58,0,48,16,577,577,280,48.53%,50,148,429,0,320,51,136,441,441,441,100.00%,69,198,243,0,90,15
CO-505,542,450,356,65.68%,413,129,0,79,284,258,0,10,0,413,321,303,73.37%,130,66,53,181,232,0,10,0,129,129,53,41.09%,26,103,26,0,0,0,0,0,0,.,0,0,0,0,0,0,244,179,179,73.36%,46,151,93,0,80,4,604,604,311,51.49%,39,120,484,0,230,5,99,28,28,28,100.00%,0,0,28,0,0,0
CT-503,532,450,450,84.59%,418,114,0,85,209,313,10,47,10,418,336,336,80.38%,131,28,72,173,235,10,0,10,114,114,114,100.00%,13,36,78,0,47,0,0,0,0,.,0,0,0,0,0,0,321,197,197,61.37%,72,212,109,0,10,48,2026,2012,1869,92.25%,246,704,1322,0,136,11,1594,284,284,12,4.23%,63,154,130,0,0,0
