total_population,total_homeless,homeless_rate,fnd_per_person,pop_AIAN,pop_asian,pop_black,pop_multi,pop_NHPI,pop_white,pop_under_18,pop_18_to_24,pop_25_to_34,pop_35_to_44,pop_45_to_54,pop_55_to_64,pop_over_64,pop_female,pop_male,pop_hisp_latx,pop_non_hisp_latx,disadvantaged_county,persistent_poverty_county,percent_rural,percent_urban,percent_poc,poverty_rate,pop_density,med_hh_income,employment_access_index,housing_cost_burden,overcrowded_housing,vacancy_rate,housing_units,airports_primary,highway_miles,funding_tot,fnd_per_impov,fnd_per_hmls
334562,380,0.0011358133918376863,110.41405479402921,0.012736956717302222,0.02760811368338767,0.3900406056413613,0.107060542421883,0.0038310135279757047,0.4587227680080901,0.2512732034839005,0.12563066260033437,0.1673115584604557,0.1232490668123736,0.10114952085975014,0.1044546531689775,0.12693133461420822,0.5034461869226041,0.49655381307739593,0.12366480672548397,0.876335193274516,0,0,0.7454754939999999,0.861583136,0.575026452,0.187492317,1.979518111964141e-4,48177,9511,0.508504204,0.00228178,0.132305515,0.43931468600000007,2.98898e-6,0.33915888187999993,36940347,588.8990896305858,97211.43947368421
146354,148,0.0010112467031990926,69.40804487748883,0.004776519561152856,0.08187815289095848,0.11002927999435566,0.07070942251384627,2.751613927399725e-4,0.7323314636469468,0.19356787877142004,0.17307117833962468,0.11866224913776716,0.11550525486788149,0.12372701843956223,0.11862830296282215,0.15683811748092225,0.5217662873747386,0.4782337126252614,0.10550471172908236,0.8944952882709176,0,0,0.879871785,0.709555065,0.30630526,0.12396448399999999,1.4213933172592112e-4,74803,15234,0.51162532,5.26098e-4,0.09782516600000002,0.403084302,0,0.24712165608,10158145,559.9026643590017,68636.11486486487
212443,336,0.0015816007117203203,40.15349999764643,0.0030526039489417963,0.007057931423349504,0.024678455810155254,0.046615401067439215,4.8608343136015864e-4,0.918109524318754,0.16709249337426355,0.13286746620397735,0.10825690697275345,0.10399069536865789,0.12086487310999676,0.14068011516387974,0.2262474498064713,0.4996901634030545,0.5003098365969455,0.06564722481743475,0.9343527751825652,0.7142857142857143,0,0.9783678169329443,0.15423522101003903,0.10141543834006297,0.17941566818926488,3.270004622967631e-5,44757.63327574926,3214.188572934858,0.5031869358858753,0.0012683761981189035,0.3159028135218452,0.603295942741766,0,0.1886434304557237,8530330,223.8015241527772,3626.8409863945576
760394,865,0.0011375681554562503,67.56716386504891,0.045450817804911385,0.015864048476012575,0.03281503225008624,0.05331320008070657,0.0014670372226525126,0.8510898641656307,0.2371070659168216,0.109602610343602,0.1433892637686515,0.12969342833423791,0.10071199354342852,0.11767075848034479,0.16182487961291367,0.48788045591195867,0.5121195440880414,0.04486111057648509,0.9551388894235149,0.09433962264150944,0.07547169811320754,0.9968814526192761,0.21050251142458687,0.16321801590644586,0.1054256944302296,4.255278157477798e-6,65356.38382207119,9545.178991417608,0.3768541752217968,0.0015350195124615702,0.1479671903802365,0.4952656123624226,1.0520856660362917e-5,0.10973761850598815,51377666,640.8984472923216,1120.6819936743375
838031,612,7.302832472784419e-4,87.80440580360393,0.01432598721623645,0.006794255154552487,0.012139716993236889,0.06867006254850593,3.6375550149052554e-4,0.8977062225859778,0.24264983777231075,0.08601989517595465,0.11005573977014772,0.11858428114712209,0.10990955657764942,0.13496749503809083,0.19781319451872453,0.4944379077976254,0.5055620922023746,0.12196551027442032,0.8780344897255797,0.2696629213483146,0.011235955056179775,0.9972788819709769,0.16957921949096616,0.15698225960292161,0.10533076927761623,4.305559611727764e-6,58322.26978715585,3278.948793063741,0.3657209571766546,8.241337957198722e-4,0.13218683751046126,0.4728703354540894,7.1596388312604185e-6,0.11023182643378021,73582814,833.6064229454288,1350.9365866196665
843173,1609,0.001908267935524501,118.51565692924228,0.006559705010173091,0.03672098282209321,0.08546948370813669,0.08731436345085591,6.933215591978472e-4,0.7832421434495432,0.25509468805238517,0.08851336721963894,0.1434142228545833,0.14085843016362343,0.11612532205164511,0.116349856057664,0.13964411360046006,0.5017109262142306,0.49828907378576937,0.1286259091622476,0.8713740908377524,0,0,0.8213374771770222,0.8176774948130492,0.26682187423504905,0.09574366749466598,2.1477439823617867e-4,69446.4514803012,27233.43651658675,0.4401828481696082,5.517956868372392e-4,0.06174002716560429,0.4116023637681045,1.185996534993412e-6,0.4097953604913907,99929202,1237.8432958591748,20702.13424487259
315976,499,0.00157923386586323,99.06221042104464,0.007032983683351589,0.041522382123342375,0.03852042185275559,0.07157986445407569,5.966040916308126e-4,0.840747743794844,0.22643223253098035,0.146190754248887,0.13602308502717247,0.12817256922882045,0.10644384919347613,0.10780633540641327,0.14893117436425035,0.49644857618645977,0.5035514238135402,0.08239797573476935,0.9176020242652306,0,0,0.887561459,0.902696151,0.194622376,0.118674778,1.4565986079415405e-4,62464,23708,0.43347319200000006,7.65794e-4,0.048203726,0.42117439300000004,3.1647999999999998e-6,0.245171149992,31301281,834.7368504961066,62728.01803607214
1355244,1258,9.282461313239534e-4,141.05227029228686,0.0014036506595990217,0.026144544631054475,0.015448186458530262,0.055957705078616846,2.0656949384634588e-4,0.900839343678353,0.1851129169626915,0.08769492605023367,0.12671904564955175,0.12119172754090186,0.12758370237362682,0.15677163118932091,0.1949260502336735,0.5009720182673144,0.4990279817326856,0.04522010557458601,0.954779894425414,0.1,0,0.9295690791707542,0.3986276523410285,0.10419894866583436,0.07452300138936088,5.844056161057329e-5,78913.80712476867,10950.090766681129,0.4616737512247603,7.211868208827668e-4,0.15579907018801445,0.47121477749000623,2.2136239589180987e-06,0.21053700099392708,191160243,1892.7346948270374,15195.567806041336
415305,987,0.0023765666197132227,184.97021706938276,0.0013105561086342802,0.04320266247288712,0.02632414260774214,0.07821975981955205,1.1061574494894843e-4,0.8508322632462355,0.19906199674147462,0.08286166335477431,0.1409100326794308,0.12859873991128523,0.13195615117297496,0.14930826968535452,0.16730314645470556,0.4987121290602074,0.5012878709397927,0.08250143619976832,0.9174985638002316,0,0,0.79584241,0.755627907,0.16315719800000003,0.074307447,1.8293745693494657e-4,82099,19861,0.48173566900000003,7.553290000000001e-4,0.054343471,0.414637435,2.40787e-6,0.29190625596,76819056,2489.255445277009,77830.85714285714
264650,427,0.0016134517286982807,351.30473833364823,0.004860887745255709,0.08636619491798006,0.15297925377935026,0.11320360244451592,5.508201994210357e-4,0.642039240913477,0.20973484186615413,0.08841880715242588,0.12010382083988584,0.11252475391694333,0.1256297687692935,0.15105713786475625,0.19253086959054108,0.5130940940066399,0.48690590599336014,0.19907245617100588,0.8009275438289941,0,0,0.792109541,0.850648736,0.441859059,0.134567249,1.839202033360612e-4,63680,13830,0.58579844,0.003254107,0.213034747,0.485441149,3.77858e-6,0.4183507805000001,92972799,2610.6258465137253,217734.89227166277
